project_id,commit_id,commit_date,method_name,change_type,effect_size,effect_size_interpretation,refactorings,median_change_percentage,github_commit_url
netty,8f7ef1cabb5442584e56a9e79bcb9696bc572a94,1554795412,"private void io.netty.channel.AbstractChannelHandlerContext.write(Object msg, boolean flush, ChannelPromise promise)",unchanged,0.1194275441903951,negligible,Add Variable Modifier,-8.360369354,https://github.com/netty/netty/commit/8f7ef1cabb5442584e56a9e79bcb9696bc572a94
netty,8280252d0e80e5e844215234732a7cda4862e260,1568285665,"static int io.netty.channel.epoll.Native.epollWait(FileDescriptor epollFd, EpollEventArray events, boolean immediatePoll)",improvement,0.9757597380856696,large,Inline Method,-55.79159744,https://github.com/netty/netty/commit/8280252d0e80e5e844215234732a7cda4862e260
netty,6e0d22335d3419d91ae60cb40811a0faa25bed50,1591085270,"private int io.netty.buffer.CompositeByteBuf.addComponent0(boolean increaseWriterIndex, int cIndex, ByteBuf buffer)",regression,-0.328217456,small,Extract Method,41.82282968622415,https://github.com/netty/netty/commit/6e0d22335d3419d91ae60cb40811a0faa25bed50
netty,ee7027288ec5f3d688be3cee45a521a5786ccf71,1576259305,"private static ByteBuf io.netty.handler.codec.ByteToMessageDecoder.expandCumulation(ByteBufAllocator alloc, ByteBuf oldCumulation, ByteBuf in)",improvement,0.2059971592343759,small,Change Method Access Modifier,-2.283619961,https://github.com/netty/netty/commit/ee7027288ec5f3d688be3cee45a521a5786ccf71
netty,b82258b72fdf4c733d9c4a641c6b8725b036485f,1578630084,private void io.netty.util.ResourceLeakDetector<T>.reportLeak(),unchanged,0.099343213,negligible,Extract Method,-1.045655376,https://github.com/netty/netty/commit/b82258b72fdf4c733d9c4a641c6b8725b036485f
netty,1039f69e53792ff58f3f61f5ab6f7b89ef1fecf0,1567425137,private void io.netty.buffer.CompositeByteBuf.consolidateIfNeeded(),improvement,0.4248366013071895,medium,Extract Method,-36.07649805,https://github.com/netty/netty/commit/1039f69e53792ff58f3f61f5ab6f7b89ef1fecf0
netty,c41d46111dc37aaf9c8ee7aec162d87221df1d70,1606645786,private int io.netty.buffer.PoolChunk<T>.runFirstBestFit(int pageIdx),unchanged,0.1092448701925682,negligible,Change Variable Type,-1.546157344,https://github.com/netty/netty/commit/c41d46111dc37aaf9c8ee7aec162d87221df1d70
netty,c41d46111dc37aaf9c8ee7aec162d87221df1d70,1606645786,private long io.netty.buffer.PoolChunk<T>.allocateRun(int runSize),improvement,0.1537414714697106,small,Change Variable Type,-3.961965135,https://github.com/netty/netty/commit/c41d46111dc37aaf9c8ee7aec162d87221df1d70
netty,c41d46111dc37aaf9c8ee7aec162d87221df1d70,1606645786,private long io.netty.buffer.PoolChunk<T>.collapsePast(long handle),improvement,0.2024418791485829,small,Change Variable Type,-5.419942077,https://github.com/netty/netty/commit/c41d46111dc37aaf9c8ee7aec162d87221df1d70
netty,c41d46111dc37aaf9c8ee7aec162d87221df1d70,1606645786,private long io.netty.buffer.PoolChunk<T>.collapseNext(long handle),unchanged,0.061604847,negligible,Change Variable Type,-0.421743205,https://github.com/netty/netty/commit/c41d46111dc37aaf9c8ee7aec162d87221df1d70
